ContrastName	GenomeName
BeforeM_vs_AfterS.Heart.Chicken	Chicken_UCSC.galGal6_ensv101
BeforeM_vs_AfterS.Kidney.Chicken	Chicken_UCSC.galGal6_ensv101
BeforeM_vs_AfterS.Liver.Chicken	Chicken_UCSC.galGal6_ensv101
BeforeM_vs_AfterS.Cerebellum.Chicken	Chicken_UCSC.galGal6_ensv101
BeforeM_vs_AfterS.Testis.Chicken	Chicken_UCSC.galGal6_ensv101
BeforeM_vs_AfterS.Brain.Chicken	Chicken_UCSC.galGal6_ensv101
BeforeM_vs_AfterS.Ovary.Chicken	Chicken_UCSC.galGal6_ensv101
BeforeM_vs_AfterS.Heart.Rabbit	Rabbit_UCSC.oryCun2_ensv101
BeforeM_vs_AfterS.Ovary.Rabbit	Rabbit_UCSC.oryCun2_ensv101
BeforeM_vs_AfterS.Brain.Rabbit	Rabbit_UCSC.oryCun2_ensv101
BeforeM_vs_AfterS.Cerebellum.Rabbit	Rabbit_UCSC.oryCun2_ensv101
BeforeM_vs_AfterS.Liver.Rabbit	Rabbit_UCSC.oryCun2_ensv101
BeforeM_vs_AfterS.Testis.Rabbit	Rabbit_UCSC.oryCun2_ensv101
BeforeM_vs_AfterS.Kidney.Rabbit	Rabbit_UCSC.oryCun2_ensv101
BeforeM_vs_AfterS.Heart.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
BeforeM_vs_AfterS.Liver.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
BeforeM_vs_AfterS.Ovary.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
BeforeM_vs_AfterS.Testis.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
BeforeM_vs_AfterS.Brain.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
BeforeM_vs_AfterS.Kidney.Mouse	Mouse_UCSC.mm39_GencodeComprehensive46
BeforeM_vs_AfterS.Heart.Rat	Rat_UCSC.rn7_RefSeqv108
BeforeM_vs_AfterS.Brain.Rat	Rat_UCSC.rn7_RefSeqv108
BeforeM_vs_AfterS.Testis.Rat	Rat_UCSC.rn7_RefSeqv108
BeforeM_vs_AfterS.Liver.Rat	Rat_UCSC.rn7_RefSeqv108
BeforeM_vs_AfterS.Ovary.Rat	Rat_UCSC.rn7_RefSeqv108
BeforeM_vs_AfterS.Cerebellum.Rat	Rat_UCSC.rn7_RefSeqv108
BeforeM_vs_AfterS.Kidney.Rat	Rat_UCSC.rn7_RefSeqv108
BeforeM_vs_AfterS.Heart.Human	Human_UCSC.hg38_GencodeComprehensive46
