ContrastName	GenomeName
Chicken_Brain-Cerebellum	Chicken_UCSC.galGal6_ensv101
Chicken_Brain-Heart	Chicken_UCSC.galGal6_ensv101
Chicken_Brain-Kidney	Chicken_UCSC.galGal6_ensv101
Chicken_Brain-Liver	Chicken_UCSC.galGal6_ensv101
Chicken_Brain-Ovary	Chicken_UCSC.galGal6_ensv101
Chicken_Brain-Testis	Chicken_UCSC.galGal6_ensv101
Chicken_Cerebellum-Heart	Chicken_UCSC.galGal6_ensv101
Chicken_Cerebellum-Kidney	Chicken_UCSC.galGal6_ensv101
Chicken_Cerebellum-Liver	Chicken_UCSC.galGal6_ensv101
Chicken_Cerebellum-Ovary	Chicken_UCSC.galGal6_ensv101
Chicken_Cerebellum-Testis	Chicken_UCSC.galGal6_ensv101
Chicken_Heart-Kidney	Chicken_UCSC.galGal6_ensv101
Chicken_Heart-Liver	Chicken_UCSC.galGal6_ensv101
Chicken_Heart-Ovary	Chicken_UCSC.galGal6_ensv101
Chicken_Heart-Testis	Chicken_UCSC.galGal6_ensv101
Chicken_Kidney-Liver	Chicken_UCSC.galGal6_ensv101
Chicken_Kidney-Ovary	Chicken_UCSC.galGal6_ensv101
Chicken_Kidney-Testis	Chicken_UCSC.galGal6_ensv101
Chicken_Liver-Ovary	Chicken_UCSC.galGal6_ensv101
Chicken_Liver-Testis	Chicken_UCSC.galGal6_ensv101
Chicken_Ovary-Testis	Chicken_UCSC.galGal6_ensv101
Human_Brain-Cerebellum	Human_UCSC.hg38_GencodeComprehensive46
Human_Brain-Heart	Human_UCSC.hg38_GencodeComprehensive46
Human_Brain-Kidney	Human_UCSC.hg38_GencodeComprehensive46
Human_Brain-Liver	Human_UCSC.hg38_GencodeComprehensive46
Human_Brain-Testis	Human_UCSC.hg38_GencodeComprehensive46
Human_Cerebellum-Heart	Human_UCSC.hg38_GencodeComprehensive46
Human_Cerebellum-Kidney	Human_UCSC.hg38_GencodeComprehensive46
Human_Cerebellum-Liver	Human_UCSC.hg38_GencodeComprehensive46
Human_Cerebellum-Testis	Human_UCSC.hg38_GencodeComprehensive46
Human_Heart-Kidney	Human_UCSC.hg38_GencodeComprehensive46
Human_Heart-Liver	Human_UCSC.hg38_GencodeComprehensive46
Human_Heart-Testis	Human_UCSC.hg38_GencodeComprehensive46
Human_Kidney-Liver	Human_UCSC.hg38_GencodeComprehensive46
Human_Kidney-Testis	Human_UCSC.hg38_GencodeComprehensive46
Human_Liver-Testis	Human_UCSC.hg38_GencodeComprehensive46
Macaque_Brain-Cerebellum	Macaque_UCSC.rheMac10_ensv101
Macaque_Brain-Heart	Macaque_UCSC.rheMac10_ensv101
Macaque_Brain-Kidney	Macaque_UCSC.rheMac10_ensv101
Macaque_Brain-Liver	Macaque_UCSC.rheMac10_ensv101
Macaque_Brain-Testis	Macaque_UCSC.rheMac10_ensv101
Macaque_Cerebellum-Heart	Macaque_UCSC.rheMac10_ensv101
Macaque_Cerebellum-Kidney	Macaque_UCSC.rheMac10_ensv101
Macaque_Cerebellum-Liver	Macaque_UCSC.rheMac10_ensv101
Macaque_Cerebellum-Testis	Macaque_UCSC.rheMac10_ensv101
Macaque_Heart-Kidney	Macaque_UCSC.rheMac10_ensv101
Macaque_Heart-Liver	Macaque_UCSC.rheMac10_ensv101
Macaque_Heart-Testis	Macaque_UCSC.rheMac10_ensv101
Macaque_Kidney-Liver	Macaque_UCSC.rheMac10_ensv101
Macaque_Kidney-Testis	Macaque_UCSC.rheMac10_ensv101
Macaque_Liver-Testis	Macaque_UCSC.rheMac10_ensv101
Mouse_Brain-Cerebellum	Mouse_UCSC.mm39_GencodeComprehensive46
Mouse_Brain-Heart	Mouse_UCSC.mm39_GencodeComprehensive46
Mouse_Brain-Kidney	Mouse_UCSC.mm39_GencodeComprehensive46
Mouse_Brain-Liver	Mouse_UCSC.mm39_GencodeComprehensive46
Mouse_Brain-Ovary	Mouse_UCSC.mm39_GencodeComprehensive46
Mouse_Brain-Testis	Mouse_UCSC.mm39_GencodeComprehensive46
Mouse_Cerebellum-Heart	Mouse_UCSC.mm39_GencodeComprehensive46
Mouse_Cerebellum-Kidney	Mouse_UCSC.mm39_GencodeComprehensive46
Mouse_Cerebellum-Liver	Mouse_UCSC.mm39_GencodeComprehensive46
Mouse_Cerebellum-Ovary	Mouse_UCSC.mm39_GencodeComprehensive46
Mouse_Cerebellum-Testis	Mouse_UCSC.mm39_GencodeComprehensive46
Mouse_Heart-Kidney	Mouse_UCSC.mm39_GencodeComprehensive46
Mouse_Heart-Liver	Mouse_UCSC.mm39_GencodeComprehensive46
Mouse_Heart-Ovary	Mouse_UCSC.mm39_GencodeComprehensive46
Mouse_Heart-Testis	Mouse_UCSC.mm39_GencodeComprehensive46
Mouse_Kidney-Liver	Mouse_UCSC.mm39_GencodeComprehensive46
Mouse_Kidney-Ovary	Mouse_UCSC.mm39_GencodeComprehensive46
Mouse_Kidney-Testis	Mouse_UCSC.mm39_GencodeComprehensive46
Mouse_Liver-Ovary	Mouse_UCSC.mm39_GencodeComprehensive46
Mouse_Liver-Testis	Mouse_UCSC.mm39_GencodeComprehensive46
