ID	ID_Species	ID_Organ	ID_Stage	ID_libNumber	sample_accession	run_accession	scientific_name	fastq_ftp	fastq_aspera	sample_alias	library ID	Species	Tissue	Stage	Sex.x	Used library?	Species (strain)	Organ	Developmental stage	Sex.y	Sequencing runs (machine run lane)	Stage (detail)	Total number reads	Total number aligned reads	% aligned reads	Extraction protocol	RQN	RIN	HDBR ID	Ordinal_stage	Label_As_in_PreviousAnalysis	Tissue_ForDevelopementalAnalysis
Chicken_Heart_10_1469	Chicken	Heart	10	1469	SAMEA4659250	ERR2576384	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2576384/ERR2576384.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/004/ERR2576384/ERR2576384.fastq.gz	E-MTAB-6769:1469sTS.Chicken.Heart.10.Female	1469	Chicken	Heart	10	Female	yes	Chicken (red junglefowl)	Heart	e10	Female	OBIWAN 94 lane 4	e10	32142236	30911571	96%	QIAgen RNeasy QIAzol	9	NA	NA	1	e10	Heart
Chicken_Kidney_10_1505	Chicken	Kidney	10	1505	SAMEA4659251	ERR2576385	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576385/ERR2576385.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576385/ERR2576385.fastq.gz	E-MTAB-6769:1505sTS.Chicken.Kidney.10.Female	1505	Chicken	Kidney	10	Female	yes	Chicken (red junglefowl)	Kidney	e10	Female	VADER 177 lane 7	e10	38792496	36586613	94%	QIAgen RNeasy QIAzol	9.2	NA	NA	1	e10	Kidney
Chicken_Liver_10_1506	Chicken	Liver	10	1506	SAMEA4659253	ERR2576387	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2576387/ERR2576387.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/007/ERR2576387/ERR2576387.fastq.gz	E-MTAB-6769:1506sTSm.Chicken.Liver.10.Female	1506	Chicken	Liver	10	Female	yes	Chicken (red junglefowl)	Liver	e10	Female	VADER 194 lane 8 / OBIWAN 47 lane 8	e10	29423586	28516184	97%	QIAgen RNeasy QIAzol	9.2	NA	NA	1	e10	Liver
Chicken_Cerebellum_10_1723	Chicken	Cerebellum	10	1723	SAMEA4659259	ERR2576393	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2576393/ERR2576393.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/003/ERR2576393/ERR2576393.fastq.gz	E-MTAB-6769:1723sTSm.Chicken.Cerebellum.10.Male	1723	Chicken	Cerebellum	10	Male	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	e10	Male	OBIWAN 42 lane 7	e10	73252462	66809541	91%	QIAgen RNeasy QIAzol	8.4	NA	NA	1	e10	Cerebellum
Chicken_Cerebellum_10_1735	Chicken	Cerebellum	10	1735	SAMEA4659260	ERR2576394	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2576394/ERR2576394.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/004/ERR2576394/ERR2576394.fastq.gz	E-MTAB-6769:1735sTS.Chicken.Cerebellum.10.Male	1735	Chicken	Cerebellum	10	Male	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	e10	Male	OBIWAN 45 lane 8	e10	41657290	38567113	93%	QIAgen RNeasy QIAzol	9	NA	NA	1	e10	Cerebellum
Chicken_Heart_10_1736	Chicken	Heart	10	1736	SAMEA4659263	ERR2576397	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2576397/ERR2576397.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/007/ERR2576397/ERR2576397.fastq.gz	E-MTAB-6769:1736sTS.Chicken.Heart.10.Male	1736	Chicken	Heart	10	Male	yes	Chicken (red junglefowl)	Heart	e10	Male	OBIWAN 94 lane 3	e10	35192092	33668641	96%	QIAgen RNeasy QIAzol	9.1	NA	NA	1	e10	Heart
Chicken_Kidney_10_1730	Chicken	Kidney	10	1730	SAMEA4659265	ERR2576399	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2576399/ERR2576399.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/009/ERR2576399/ERR2576399.fastq.gz	E-MTAB-6769:1730sTS.Chicken.Kidney.10.Male	1730	Chicken	Kidney	10	Male	yes	Chicken (red junglefowl)	Kidney	e10	Male	VADER 177 lane 8	e10	39050426	37128501	95%	QIAgen RNeasy QIAzol	8.8	NA	NA	1	e10	Kidney
Chicken_Testis_10_1722	Chicken	Testis	10	1722	SAMEA4659269	ERR2576403	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2576403/ERR2576403.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/003/ERR2576403/ERR2576403.fastq.gz	E-MTAB-6769:1722sTS.Chicken.Testis.10.Male	1722	Chicken	Testis	10	Male	yes	Chicken (red junglefowl)	Testis	e10	Male	VADER 120 lane 3	e10	52694257	48752156	93%	QIAgen RNeasy QIAzol	8.6	NA	NA	1	e10	Testis
Chicken_Heart_12_1470	Chicken	Heart	12	1470	SAMEA4659274	ERR2576408	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2576408/ERR2576408.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/008/ERR2576408/ERR2576408.fastq.gz	E-MTAB-6769:1470sTS.Chicken.Heart.12.Female	1470	Chicken	Heart	12	Female	yes	Chicken (red junglefowl)	Heart	e12	Female	OBIWAN 94 lane 3	e12	36753164	35501549	97%	QIAgen RNeasy QIAzol	9.1	NA	NA	2	e12	Heart
Chicken_Brain_12_1353	Chicken	Brain	12	1353	SAMEA4659282	ERR2576416	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2576416/ERR2576416.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/006/ERR2576416/ERR2576416.fastq.gz	E-MTAB-6769:1353sTS.Chicken.Brain.12.Male	1353	Chicken	Brain	12	Male	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	e12	Male	VADER 126 lane 8	e12	20622647	19741187	96%	QIAgen RNeasy QIAzol	9.4	NA	NA	2	e12	Brain
Chicken_Cerebellum_12_1533	Chicken	Cerebellum	12	1533	SAMEA4659284	ERR2576418	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2576418/ERR2576418.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/008/ERR2576418/ERR2576418.fastq.gz	E-MTAB-6769:1533sTSm.Chicken.Cerebellum.12.Male	1533	Chicken	Cerebellum	12	Male	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	e12	Male	OBIWAN 42 lane 7	e12	48978101	37400120	76%	QIAgen RNeasy QIAzol	9.3	NA	NA	2	e12	Cerebellum
Chicken_Kidney_12_1534	Chicken	Kidney	12	1534	SAMEA4659288	ERR2576422	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2576422/ERR2576422.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/002/ERR2576422/ERR2576422.fastq.gz	E-MTAB-6769:1534sTS.Chicken.Kidney.12.Male	1534	Chicken	Kidney	12	Male	yes	Chicken (red junglefowl)	Kidney	e12	Male	VADER 177 lane 7	e12	37969359	35824144	94%	QIAgen RNeasy QIAzol	9.3	NA	NA	2	e12	Kidney
Chicken_Liver_12_1610	Chicken	Liver	12	1610	SAMEA4659291	ERR2576425	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576425/ERR2576425.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576425/ERR2576425.fastq.gz	E-MTAB-6769:1610sTS.Chicken.Liver.12.Male	1610	Chicken	Liver	12	Male	yes	Chicken (red junglefowl)	Liver	e12	Male	OBIWAN 44 lane 7	e12	40370679	38290078	95%	QIAgen RNeasy QIAzol	9.2	NA	NA	2	e12	Liver
Chicken_Brain_14_1420	Chicken	Brain	14	1420	SAMEA4659294	ERR2576428	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2576428/ERR2576428.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/008/ERR2576428/ERR2576428.fastq.gz	E-MTAB-6769:1420sTS.Chicken.Brain.14.Female	1420	Chicken	Brain	14	Female	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	e14	Female	OBIWAN 20 lane 5	e14	28847940	27502823	95%	QIAgen RNeasy QIAzol	7.3	NA	NA	3	e14	Brain
Chicken_Brain_14_1612	Chicken	Brain	14	1612	SAMEA4659295	ERR2576429	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2576429/ERR2576429.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/009/ERR2576429/ERR2576429.fastq.gz	E-MTAB-6769:1612sTS.Chicken.Brain.14.Female	1612	Chicken	Brain	14	Female	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	e14	Female	OBIWAN 47 lane 7	e14	21011454	20352018	97%	QIAgen RNeasy QIAzol	8.9	NA	NA	3	e14	Brain
Chicken_Cerebellum_14_1613	Chicken	Cerebellum	14	1613	SAMEA4659296	ERR2576430	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2576430/ERR2576430.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/000/ERR2576430/ERR2576430.fastq.gz	E-MTAB-6769:1613sTSm.Chicken.Cerebellum.14.Female	1613	Chicken	Cerebellum	14	Female	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	e14	Female	OBIWAN 42 lane 7	e14	45059955	41828899	93%	QIAgen RNeasy QIAzol	9.1	NA	NA	3	e14	Cerebellum
Chicken_Kidney_14_1433	Chicken	Kidney	14	1433	SAMEA4659300	ERR2576434	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2576434/ERR2576434.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/004/ERR2576434/ERR2576434.fastq.gz	E-MTAB-6769:1433sTS.Chicken.Kidney.14.Female	1433	Chicken	Kidney	14	Female	yes	Chicken (red junglefowl)	Kidney	e14	Female	VADER 177 lane 5	e14	38444437	36587812	95%	QIAgen RNeasy QIAzol	9	NA	NA	3	e14	Kidney
Chicken_Liver_14_1434	Chicken	Liver	14	1434	SAMEA4659302	ERR2576436	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2576436/ERR2576436.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/006/ERR2576436/ERR2576436.fastq.gz	E-MTAB-6769:1434sTS.Chicken.Liver.14.Female	1434	Chicken	Liver	14	Female	yes	Chicken (red junglefowl)	Liver	e14	Female	VADER 126 lane 2	e14	33329310	32010978	96%	QIAgen RNeasy QIAzol	9.1	NA	NA	3	e14	Liver
