gene_name	SpeciesShort	ID	NewerGroup
ARHGAP17	Chicken	Chicken_Brain_10wph_1775	Non testis adult
ARHGAP17	Chicken	Chicken_Brain_10wph_1805	Non testis adult
ARHGAP17	Chicken	Chicken_Brain_10wph_1865	Non testis adult
ARHGAP17	Chicken	Chicken_Brain_10wph_3920	Non testis adult
ARHGAP17	Chicken	Chicken_Brain_Adult_577	Non testis adult
ARHGAP17	Chicken	Chicken_Brain_Adult_653	Non testis adult
ARHGAP17	Chicken	Chicken_Brain_Adult_783	Non testis adult
ARHGAP17	Chicken	Chicken_Brain_Adult_922	Non testis adult
ARHGAP17	Chicken	Chicken_Cerebellum_10wph_1770	Non testis adult
ARHGAP17	Chicken	Chicken_Cerebellum_10wph_1776	Non testis adult
ARHGAP17	Chicken	Chicken_Cerebellum_10wph_1868	Non testis adult
ARHGAP17	Chicken	Chicken_Cerebellum_10wph_1869	Non testis adult
ARHGAP17	Chicken	Chicken_Cerebellum_Adult_578	Non testis adult
ARHGAP17	Chicken	Chicken_Cerebellum_Adult_654	Non testis adult
ARHGAP17	Chicken	Chicken_Cerebellum_Adult_782	Non testis adult
ARHGAP17	Chicken	Chicken_Cerebellum_Adult_921	Non testis adult
ARHGAP17	Chicken	Chicken_Heart_10wph_1771	Non testis adult
ARHGAP17	Chicken	Chicken_Heart_10wph_1777	Non testis adult
ARHGAP17	Chicken	Chicken_Heart_10wph_2455	Non testis adult
ARHGAP17	Chicken	Chicken_Heart_10wph_2457	Non testis adult
ARHGAP17	Chicken	Chicken_Heart_Adult_560	Non testis adult
ARHGAP17	Chicken	Chicken_Heart_Adult_650	Non testis adult
ARHGAP17	Chicken	Chicken_Heart_Adult_764	Non testis adult
ARHGAP17	Chicken	Chicken_Heart_Adult_785	Non testis adult
ARHGAP17	Chicken	Chicken_Kidney_10wph_1772	Non testis adult
ARHGAP17	Chicken	Chicken_Kidney_10wph_1778	Non testis adult
ARHGAP17	Chicken	Chicken_Kidney_10wph_2456	Non testis adult
ARHGAP17	Chicken	Chicken_Kidney_10wph_2458	Non testis adult
