SampleName	STARGenomeName	R1	R2	Strandedness
Chicken_Heart_10_1469	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Heart_10_1469.fastq.gz	NA	U
Chicken_Kidney_10_1505	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Kidney_10_1505.fastq.gz	NA	U
Chicken_Liver_10_1506	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Liver_10_1506.fastq.gz	NA	U
Chicken_Cerebellum_10_1723	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Cerebellum_10_1723.fastq.gz	NA	U
Chicken_Cerebellum_10_1735	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Cerebellum_10_1735.fastq.gz	NA	U
Chicken_Heart_10_1736	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Heart_10_1736.fastq.gz	NA	U
Chicken_Kidney_10_1730	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Kidney_10_1730.fastq.gz	NA	U
Chicken_Testis_10_1722	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Testis_10_1722.fastq.gz	NA	U
Chicken_Heart_12_1470	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Heart_12_1470.fastq.gz	NA	U
Chicken_Brain_12_1353	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Brain_12_1353.fastq.gz	NA	U
Chicken_Cerebellum_12_1533	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Cerebellum_12_1533.fastq.gz	NA	U
Chicken_Kidney_12_1534	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Kidney_12_1534.fastq.gz	NA	U
Chicken_Liver_12_1610	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Liver_12_1610.fastq.gz	NA	U
Chicken_Brain_14_1420	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Brain_14_1420.fastq.gz	NA	U
Chicken_Brain_14_1612	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Brain_14_1612.fastq.gz	NA	U
Chicken_Cerebellum_14_1613	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Cerebellum_14_1613.fastq.gz	NA	U
Chicken_Kidney_14_1433	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Kidney_14_1433.fastq.gz	NA	U
Chicken_Liver_14_1434	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Liver_14_1434.fastq.gz	NA	U
Chicken_Liver_14_1616	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Liver_14_1616.fastq.gz	NA	U
Chicken_Ovary_14_1617	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Ovary_14_1617.fastq.gz	NA	U
Chicken_Heart_14_1340	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Heart_14_1340.fastq.gz	NA	U
Chicken_Heart_14_1548	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Heart_14_1548.fastq.gz	NA	U
Chicken_Brain_17_1628	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Brain_17_1628.fastq.gz	NA	U
Chicken_Heart_17_2476	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Heart_17_2476.fastq.gz	NA	U
Chicken_Kidney_17_1484	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Kidney_17_1484.fastq.gz	NA	U
Chicken_Kidney_17_1631	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Kidney_17_1631.fastq.gz	NA	U
Chicken_Liver_17_1485	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Liver_17_1485.fastq.gz	NA	U
Chicken_Liver_17_1634	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Liver_17_1634.fastq.gz	NA	U
Chicken_Ovary_17_1427	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Ovary_17_1427.fastq.gz	NA	U
Chicken_Brain_17_1620	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Brain_17_1620.fastq.gz	NA	U
Chicken_Heart_17_1474	Chicken_UCSC.galGal6_ensv101	CordosoMoreira_Fastq/Chicken_Heart_17_1474.fastq.gz	NA	U
