sampleID	Species	Stage	Tissue	run_accession
Chicken_Heart_10_1469	Chicken	10	Heart	ERR2576384
Chicken_Kidney_10_1505	Chicken	10	Kidney	ERR2576385
Chicken_Liver_10_1506	Chicken	10	Liver	ERR2576387
Chicken_Cerebellum_10_1723	Chicken	10	Cerebellum	ERR2576393
Chicken_Cerebellum_10_1735	Chicken	10	Cerebellum	ERR2576394
Chicken_Heart_10_1736	Chicken	10	Heart	ERR2576397
Chicken_Kidney_10_1730	Chicken	10	Kidney	ERR2576399
Chicken_Testis_10_1722	Chicken	10	Testis	ERR2576403
Chicken_Heart_12_1470	Chicken	12	Heart	ERR2576408
Chicken_Brain_12_1353	Chicken	12	Brain	ERR2576416
Chicken_Cerebellum_12_1533	Chicken	12	Cerebellum	ERR2576418
Chicken_Kidney_12_1534	Chicken	12	Kidney	ERR2576422
Chicken_Liver_12_1610	Chicken	12	Liver	ERR2576425
Chicken_Brain_14_1420	Chicken	14	Brain	ERR2576428
Chicken_Brain_14_1612	Chicken	14	Brain	ERR2576429
Chicken_Cerebellum_14_1613	Chicken	14	Cerebellum	ERR2576430
Chicken_Kidney_14_1433	Chicken	14	Kidney	ERR2576434
Chicken_Liver_14_1434	Chicken	14	Liver	ERR2576436
Chicken_Liver_14_1616	Chicken	14	Liver	ERR2576437
Chicken_Ovary_14_1617	Chicken	14	Ovary	ERR2576439
Chicken_Heart_14_1340	Chicken	14	Heart	ERR2576444
Chicken_Heart_14_1548	Chicken	14	Heart	ERR2576445
Chicken_Brain_17_1628	Chicken	17	Brain	ERR2576453
Chicken_Heart_17_2476	Chicken	17	Heart	ERR2576457
Chicken_Kidney_17_1484	Chicken	17	Kidney	ERR2576458
Chicken_Kidney_17_1631	Chicken	17	Kidney	ERR2576459
Chicken_Liver_17_1485	Chicken	17	Liver	ERR2576460
Chicken_Liver_17_1634	Chicken	17	Liver	ERR2576461
Chicken_Ovary_17_1427	Chicken	17	Ovary	ERR2576462
Chicken_Brain_17_1620	Chicken	17	Brain	ERR2576465
Chicken_Heart_17_1474	Chicken	17	Heart	ERR2576468
Chicken_Kidney_17_1480	Chicken	17	Kidney	ERR2576470
Chicken_Kidney_17_1623	Chicken	17	Kidney	ERR2576471
Chicken_Liver_17_1481	Chicken	17	Liver	ERR2576472
Chicken_Liver_17_1624	Chicken	17	Liver	ERR2576473
