ContrastGroup	ContrastName	Species	SamplesInGroup1	SamplesInGroup2	n_sig_productive_ds_leafcutter_clusters	n_sig_unproductive_ds_leafcutter_clusters
Adult tissues	Adult Brain v Adult Cerebellum	Chicken	Chicken_Brain_10wph_1775, Chicken_Brain_10wph_1805, Chicken_Brain_10wph_1865, Chicken_Brain_10wph_3920, Chicken_Brain_Adult_577, Chicken_Brain_Adult_653, Chicken_Brain_Adult_783, Chicken_Brain_Adult_922	Chicken_Cerebellum_10wph_1770, Chicken_Cerebellum_10wph_1776, Chicken_Cerebellum_10wph_1868, Chicken_Cerebellum_10wph_1869, Chicken_Cerebellum_Adult_578, Chicken_Cerebellum_Adult_654, Chicken_Cerebellum_Adult_782, Chicken_Cerebellum_Adult_921	1074	412
Adult tissues	Adult Brain v Adult Cerebellum	Human	Human_Brain_13ypb_5570, Human_Brain_14ypb_5515, Human_Brain_16ypb_5532, Human_Brain_28ypb_6048, Human_Brain_29ypb_5531, Human_Brain_29ypb_5908, Human_Brain_39ypb_5533, Human_Brain_39ypb_5574, Human_Brain_50ypb_5517, Human_Brain_53ypb_5557, Human_Brain_58ypb_5514, Human_Brain_58ypb_5524	Human_Cerebellum_13ypb_5511, Human_Cerebellum_14ypb_5545, Human_Cerebellum_16ypb_5534, Human_Cerebellum_17ypb_5565, Human_Cerebellum_29ypb_5520, Human_Cerebellum_29ypb_5540, Human_Cerebellum_32ypb_6047, Human_Cerebellum_39ypb_5522, Human_Cerebellum_39ypb_5547, Human_Cerebellum_50ypb_5549, Human_Cerebellum_53ypb_5516, Human_Cerebellum_58ypb_5525, Human_Cerebellum_58ypb_5573	4476	734
Adult tissues	Adult Brain v Adult Cerebellum	Macaque	Macaque_Brain_14ypb_6110, Macaque_Brain_15ypb_6111, Macaque_Brain_21ypb_5413, Macaque_Brain_22ypb_5461, Macaque_Brain_3ypb_6076, Macaque_Brain_3ypb_6084, Macaque_Brain_9ypb_5501, Macaque_Brain_9ypb_5988	Macaque_Cerebellum_15ypb_5491, Macaque_Cerebellum_21ypb_5378, Macaque_Cerebellum_22ypb_5389, Macaque_Cerebellum_3ypb_5428, Macaque_Cerebellum_3ypb_5442, Macaque_Cerebellum_9ypb_5457	1338	401
Adult tissues	Adult Brain v Adult Cerebellum	Mouse	Mouse_Brain_2wpb_1876, Mouse_Brain_2wpb_1880, Mouse_Brain_2wpb_1884, Mouse_Brain_2wpb_1888, Mouse_Brain_4wpb_1892, Mouse_Brain_4wpb_1896, Mouse_Brain_4wpb_1936, Mouse_Brain_4wpb_1940, Mouse_Brain_9wpb_1944, Mouse_Brain_9wpb_1948, Mouse_Brain_9wpb_1954, Mouse_Brain_9wpb_1960	Mouse_Cerebellum_2wpb_1877, Mouse_Cerebellum_2wpb_1881, Mouse_Cerebellum_2wpb_1885, Mouse_Cerebellum_4wpb_1893, Mouse_Cerebellum_4wpb_1897, Mouse_Cerebellum_4wpb_1937, Mouse_Cerebellum_4wpb_1941, Mouse_Cerebellum_9wpb_1945, Mouse_Cerebellum_9wpb_1949, Mouse_Cerebellum_9wpb_1955, Mouse_Cerebellum_9wpb_1961	1207	127
Adult tissues	Adult Brain v Adult Cerebellum	Opossum	Opossum_Brain_120dpb_4599, Opossum_Brain_120dpb_4624, Opossum_Brain_120dpb_5852, Opossum_Brain_14mpb_5972, Opossum_Brain_14mpb_5974, Opossum_Brain_150dpb_4622, Opossum_Brain_150dpb_4623, Opossum_Brain_150dpb_5858, Opossum_Brain_60dpb_4647, Opossum_Brain_90dpb_4607, Opossum_Brain_90dpb_4620, Opossum_Brain_90dpb_5864	Opossum_Cerebellum_120dpb_4626, Opossum_Cerebellum_120dpb_4628, Opossum_Cerebellum_120dpb_5857, Opossum_Cerebellum_150dpb_4682, Opossum_Cerebellum_150dpb_5859, Opossum_Cerebellum_4mpb_5975, Opossum_Cerebellum_4mpb_5977, Opossum_Cerebellum_60dpb_4648, Opossum_Cerebellum_60dpb_5869, Opossum_Cerebellum_60dpb_5874, Opossum_Cerebellum_6mpb_5976, Opossum_Cerebellum_90dpb_4608, Opossum_Cerebellum_90dpb_4621, Opossum_Cerebellum_90dpb_5865	1041	524
Adult tissues	Adult Brain v Adult Cerebellum	Rabbit	Rabbit_Brain_12wpb_4830, Rabbit_Brain_12wpb_4836, Rabbit_Brain_12wpb_4917, Rabbit_Brain_12wpb_4928, Rabbit_Brain_1ypb_3017, Rabbit_Brain_6mpb_3011, Rabbit_Brain_6mpb_3021, Rabbit_Brain_6mpb_3025	Rabbit_Cerebellum_12wpb_4831, Rabbit_Cerebellum_12wpb_4837, Rabbit_Cerebellum_12wpb_4918, Rabbit_Cerebellum_12wpb_4929, Rabbit_Cerebellum_1ypb_3018, Rabbit_Cerebellum_6mpb_3012, Rabbit_Cerebellum_6mpb_3022, Rabbit_Cerebellum_6mpb_3026	826	264
Adult tissues	Adult Brain v Adult Cerebellum	Rat	Rat_Brain_16wpb_2348, Rat_Brain_16wpb_2352, Rat_Brain_16wpb_2356, Rat_Brain_16wpb_2367, Rat_Brain_2wpb_2336, Rat_Brain_2wpb_2339, Rat_Brain_2wpb_2342, Rat_Brain_2wpb_2345, Rat_Brain_6wpb_1875, Rat_Brain_6wpb_1971, Rat_Brain_6wpb_1975, Rat_Brain_6wpb_2363	Rat_Cerebellum_16wpb_2349, Rat_Cerebellum_16wpb_2353, Rat_Cerebellum_16wpb_2357, Rat_Cerebellum_16wpb_2368, Rat_Cerebellum_2wpb_2337, Rat_Cerebellum_2wpb_2340, Rat_Cerebellum_2wpb_2343, Rat_Cerebellum_2wpb_2346, Rat_Cerebellum_6wpb_1968, Rat_Cerebellum_6wpb_1972, Rat_Cerebellum_6wpb_2285, Rat_Cerebellum_6wpb_2364	1510	158
Adult tissues	Adult Brain v Adult Heart	Chicken	Chicken_Brain_10wph_1775, Chicken_Brain_10wph_1805, Chicken_Brain_10wph_1865, Chicken_Brain_10wph_3920, Chicken_Brain_Adult_577, Chicken_Brain_Adult_653, Chicken_Brain_Adult_783, Chicken_Brain_Adult_922	Chicken_Heart_10wph_1771, Chicken_Heart_10wph_1777, Chicken_Heart_10wph_2455, Chicken_Heart_10wph_2457, Chicken_Heart_Adult_560, Chicken_Heart_Adult_650, Chicken_Heart_Adult_764, Chicken_Heart_Adult_785	2258	965
Adult tissues	Adult Brain v Adult Heart	Human	Human_Brain_13ypb_5570, Human_Brain_14ypb_5515, Human_Brain_16ypb_5532, Human_Brain_28ypb_6048, Human_Brain_29ypb_5531, Human_Brain_29ypb_5908, Human_Brain_39ypb_5533, Human_Brain_39ypb_5574, Human_Brain_50ypb_5517, Human_Brain_53ypb_5557, Human_Brain_58ypb_5514, Human_Brain_58ypb_5524	Human_Heart_13ypb_5822, Human_Heart_25ypb_6042, Human_Heart_54ypb_6043	1641	206
Adult tissues	Adult Brain v Adult Heart	Macaque	Macaque_Brain_14ypb_6110, Macaque_Brain_15ypb_6111, Macaque_Brain_21ypb_5413, Macaque_Brain_22ypb_5461, Macaque_Brain_3ypb_6076, Macaque_Brain_3ypb_6084, Macaque_Brain_9ypb_5501, Macaque_Brain_9ypb_5988	Macaque_Heart_14ypb_5396, Macaque_Heart_15ypb_6120, Macaque_Heart_20ypb_6121, Macaque_Heart_26ypb_6122, Macaque_Heart_3ypb_5422, Macaque_Heart_3ypb_5436, Macaque_Heart_3ypb_6078, Macaque_Heart_3ypb_6081, Macaque_Heart_8ypb_6085, Macaque_Heart_9ypb_5420, Macaque_Heart_9ypb_5450	2332	525
