gene_name	SpeciesShort	OriginGenome	JuncCoord	Geneid
ARHGAP17	Chicken	Chicken_UCSC.galGal6_ensv101	chr14:6988384-6990652	ENSGALG00000041213.2
ARHGAP17	Human	Human_UCSC.hg38_GencodeComprehensive46	chr16:24954730-24959910	ENSG00000140750.17
ARHGAP17	Macaque	Macaque_UCSC.rheMac10_ensv101	chr20:23311660-23316839	ENSMMUG00000029176.3
ARHGAP17	Mouse	Mouse_UCSC.mm39_GencodeComprehensive46	chr7:122907636-122913866	ENSMUSG00000030766.16
ARHGAP17	Opossum	Opossum_UCSC.monDom5_ensvUnknown	chr6:143372660-143381197	ENSMODG00000016300.4
ARHGAP17	Rabbit	Rabbit_UCSC.oryCun2_ensv101	chr6:15524897-15530021	ENSOCUG00000006925.4
ARHGAP17	Rat	Rat_UCSC.rn7_RefSeqv108	chr1:177836970-177842515	Arhgap17
NSD1	Human	Human_UCSC.hg38_GencodeComprehensive46	chr5:177248079-177248180	ENSG00000165671.22
NSD1	Macaque	Macaque_UCSC.rheMac10_ensv101	chr6:174733784-174733885	ENSMMUG00000009041.4
NSD1	Mouse	Mouse_UCSC.mm39_GencodeComprehensive46	chr13:55425240-55425344	ENSMUSG00000021488.9
NSD1	Opossum	Opossum_UCSC.monDom5_ensvUnknown	chr1:382842310-382842415	ENSMODG00000004870.3
NSD1	Rabbit	Rabbit_UCSC.oryCun2_ensv101	chr3:57764431-57764532	ENSOCUG00000002775.3
SCN8A	Chicken	Chicken_UCSC.galGal6_ensv101	chr33:3213644-3217460	ENSGALG00000043728.2
SCN8A	Human	Human_UCSC.hg38_GencodeComprehensive46	chr12:51780271-51786541	ENSG00000196876.19
SCN8A	Macaque	Macaque_UCSC.rheMac10_ensv101	chr11:51385542-51391894	ENSMMUG00000000415.4
SCN8A	Mouse	Mouse_UCSC.mm39_GencodeComprehensive46	chr15:100921787-100927458	ENSMUSG00000023033.15
SCN8A	Rabbit	Rabbit_UCSC.oryCun2_ensv101	chr4:35980099-35986269	ENSOCUG00000011070.4
SCN8A	Rat	Rat_UCSC.rn7_RefSeqv108	chr7:132134440-132140031	Scn8a
SRSF2	Human	Human_UCSC.hg38_GencodeComprehensive46	chr17:76735158-76735771	ENSG00000161547.17
SRSF2	Macaque	Macaque_UCSC.rheMac10_ensv101	chr16:73137593-73138220	ENSMMUG00000022412.4
SRSF2	Mouse	Mouse_UCSC.mm39_GencodeComprehensive46	chr11:116741787-116742473	ENSMUSG00000034120.19
SRSF2	Rat	Rat_UCSC.rn7_RefSeqv108	chr10:102053222-102053892	Srsf2
SULT4A1	Chicken	Chicken_UCSC.galGal6_ensv101	chr1:69013056-69014600	ENSGALG00000014189.6
SULT4A1	Human	Human_UCSC.hg38_GencodeComprehensive46	chr22:43826113-43827513	ENSG00000130540.14
SULT4A1	Mouse	Mouse_UCSC.mm39_GencodeComprehensive46	chr15:83961783-83962969	ENSMUSG00000018865.10
SULT4A1	Rabbit	Rabbit_UCSC.oryCun2_ensv101	chrUn0305:156682-157760	ENSOCUG00000022561.3
SULT4A1	Rat	Rat_UCSC.rn7_RefSeqv108	chr7:115217505-115218607	Sult4a1
