gene_name	external_gene_name	ProductivityWhenExonIncluded	strand	Frame_of_upstream_exon	Frame_of_cassette_exon	Frame_of_downstream_exon	Coordinates_of_upstream_exon	Coordinates_of_cassette_exon	Coordinates_of_downstream_exon	dN.dS_of_upstream_exon	dN.dS_of_cassette_exon	dN.dS_of_downstream_exon	MeanPhyloP_of_upstream_exon	MeanPhyloP_of_cassette_exon	MeanPhyloP_of_downstream_exon	IsDifferentiallySpliced_in_at_least_one_contrast_in_human_and_anyNonMacaque
ENSG00000107566.14	ERLIN1	Unproductive	-	2	2	1	chr10:100164004-100164095	chr10:100158984-100159055	chr10:100156145-100156234	0.7125256673511293	6.105263157894737	0.12532981530343007	4.527889	2.337124824523926	4.299717426300049	FALSE
ENSG00000213341.11	CHUK	Unproductive	-	1	1	0	chr10:100193298-100193431	chr10:100192459-100192693	chr10:100190869-100190968	1.9344262295081969	5.797570850202429	8.06711409395973	2.5478299	1.6862213611602783	2.4853582	TRUE
ENSG00000095485.18	CWF19L1	Productive	-	2	2	0	chr10:100260966-100261044	chr10:100260218-100260319	chr10:100256262-100256476	8.170731707317072	0.6226685796269728	0.8105022831050228	3.6586046	4.071176528930664	3.90940523147583	TRUE
ENSG00000055950.17	MRPL43	Productive	-	2	2	0	chr10:100987313-100987443	chr10:100987090-100987196	chr10:100986734-100986975	3.896969696969697	4.720379146919432	1.7808510638297872	3.2680328	2.5468783378601074	3.0400609970092773	TRUE
ENSG00000166169.17	POLL	Productive	-	0	0	0	chr10:101585862-101586007	chr10:101585316-101585478	chr10:101584878-101584919	2.301136363636364	5.798882681564246	8.864321608040202	2.0544047	0.5907730460166931	3.0362537	FALSE
ENSG00000198408.14	OGA	Productive	-	2	2	0	chr10:101807730-101807901	chr10:101806045-101806143	chr10:101803747-101804019	0.3861878453038674	0.10229885057471264	0.07958251793868232	5.6811094	5.628757476806641	5.7890344	FALSE
ENSG00000120049.20	KCNIP2	Productive	-	2	2	0	chr10:101843496-101843568	chr10:101831072-101831167	chr10:101829075-101829199	0.3194805194805195	6.7407407407407405	2.5849056603773586	3.7471123	4.7334160804748535	2.7981371879577637	TRUE
ENSG00000120029.13	ARMH3	Productive	-	0	0	2	chr10:101995297-101995355	chr10:101993538-101993603	chr10:101991969-101992038	8.305084745762711	5.115384615384615	0.02439024390243902	4.369343	4.708863735198975	4.289254188537598	FALSE
ENSG00000138107.13	ACTR1A	Productive	-	2	2	0	chr10:102482001-102482175	chr10:102481837-102481898	chr10:102481132-102481172	11.61111111111111	0.12727272727272726	0.1015252621544328	5.2334633	4.349903583526611	5.2321143	FALSE
ENSG00000148795.7	CYP17A1	Productive	-	0	0	2	chr10:102834785-102835014	chr10:102834036-102834122	chr10:102832993-102833208	4.858676207513417	2.4592760180995477	4.018337408312958	2.53594	1.6337701082229614	2.0701870000000002	FALSE
ENSG00000076685.19	NT5C2	Unproductive	-	1	1	1	chr10:103101045-103101102	chr10:103100752-103100943	chr10:103099926-103100019	0.18269230769230768	3.163588390501319	0.8125	5.84118	2.91644287109375	4.580000400543213	TRUE
ENSG00000076685.19	NT5C2	Productive	-	1	1	1	chr10:103105706-103105801	chr10:103105358-103105381	chr10:103101235-103101326	0.08865248226950355	0.9821428571428572	0.12486187845303869	5.5849457	1.3292917013168335	5.470396041870117	TRUE
ENSG00000076685.19	NT5C2	Unproductive	-	2	2	1	chr10:103139406-103139479	chr10:103111745-103111805	chr10:103106589-103106706	0.17610619469026548	7.379310344827586	0.0065040650406504	5.7573566	3.792180299758911	6.185013771057129	TRUE
ENSG00000107957.17	SH3PXD2A	Productive	-	2	2	2	chr10:103627089-103627202	chr10:103622470-103622553	chr10:103617197-103617314	15.238805970149254	0.3391304347826087	0.21565836298932384	5.0304494	5.940035820007324	4.80756139755249	TRUE
ENSG00000107957.17	SH3PXD2A	Productive	-	2	2	1	chr10:103693028-103693056	chr10:103668608-103668652	chr10:103660985-103661114	11.117021276595745	0.8194444444444444	1.2352941176470589	5.127954	3.302556037902832	2.5349996089935303	FALSE
ENSG00000107960.12	STN1	Productive	-	2	2	0	chr10:103917462-103917594	chr10:103910527-103910622	chr10:103905091-103905156	2.596938775510204	0.9810996563573884	2.8329466357308584	2.4861362	3.0197393894195557	3.1449172496795654	TRUE
ENSG00000108018.17	SORCS1	Productive	-	1	1	2	chr10:106579369-106579474	chr10:106579091-106579251	chr10:106577548-106577555	0.05714285714285714	4.952	7.203389830508475	2.3144999	4.0527448654174805	5.014925003051758	FALSE
ENSG00000108039.18	XPNPEP1	Productive	-	1	1	1	chr10:109877790-109877867	chr10:109875528-109875599	chr10:109873367-109873427	0.10086455331412104	0.22734026745913816	0.19004524886877827	5.0331483	4.2685418128967285	5.119615077972412	FALSE
ENSG00000108039.18	XPNPEP1	Productive	-	2	2	2	chr10:109888049-109888192	chr10:109886246-109886341	chr10:109884067-109884148	0.28109028960817717	0.8786764705882353	0.5207451312447079	4.125061	4.312020778656006	3.988590717315674	FALSE
ENSG00000108039.18	XPNPEP1	Productive	-	2	2	0	chr10:109907691-109907807	chr10:109893012-109893075	chr10:109891722-109891826	0.26435406698564595	16.62857142857143	0.4599033816425121	5.4240103	5.283921241760254	4.575760841369629	TRUE
ENSG00000119953.14	SMNDC1	Unproductive	-	0	0	0	chr10:110303468-110303587	chr10:110300547-110300736	chr10:110298648-110298790	12.471698113207546	6.610169491525424	6.956834532374101	4.389895	3.337415933609009	4.85437536239624	FALSE
ENSG00000142687.19	KIAA0319L	Productive	-	1	1	2	chr1:35442906-35443028	chr1:35442246-35442336	chr1:35441047-35441138	1.062937062937063	0.5681444991789819	0.47044334975369456	3.660402	4.377835273742676	5.0230727	TRUE
ENSG00000214413.9	BBIP1	Productive	-	2	2	0	chr10:110918121-110918157	chr10:110901538-110901612	chr10:110900360-110900526	2.068421052631579	0.797153024911032	85.5	3.7737784	3.161639928817749	0.577973	TRUE
ENSG00000023041.12	ZDHHC6	Productive	-	2	2	1	chr10:112442192-112442351	chr10:112440534-112440695	chr10:112438355-112438389	3.1607142857142856	4.8475336322869955	0.20478325859491775	5.322057	5.170161	5.5942254066467285	FALSE
ENSG00000197893.14	NRAP	Productive	-	0	0	0	chr10:113645825-113645941	chr10:113642934-113643038	chr10:113641365-113641472	4.158653846153846	0.552099533437014	0.7382769901853872	3.775667	4.776876449584961	4.0348635	FALSE
ENSG00000169129.16	AFAP1L2	Productive	-	2	2	0	chr10:114323171-114323261	chr10:114319562-114319645	chr10:114315560-114315765	1.2028169014084509	9.47945205479452	2.2717391304347827	4.7678785	1.9608927965164185	2.7876482	TRUE
ENSG00000142687.19	KIAA0319L	Productive	-	2	2	2	chr1:35478966-35479212	chr1:35474805-35474906	chr1:35470863-35470960	1.3891891891891892	1.1149193548387095	7.552631578947368	4.049143	3.3690881729125977	0.96713763	FALSE
ENSG00000169129.16	AFAP1L2	Productive	-	2	2	0	chr10:114404440-114404455	chr10:114398851-114398904	chr10:114340603-114340731	0.4287305122494432	1.3478260869565215	7.5	2.725659	2.0675742626190186	1.67575	FALSE
ENSG00000099204.22	ABLIM1	Productive	-	2	2	0	chr10:114465698-114465827	chr10:114453379-114453483	chr10:114451645-114451671	0.5508474576271186	0.6516129032258065	18.61111111111111	5.384037	5.888495	4.80916166305542	TRUE
ENSG00000099204.22	ABLIM1	Productive	-	0	0	2	chr10:114487958-114488016	chr10:114473879-114473956	chr10:114472977-114473132	0.3855042016806723	0.08428720083246619	0.33260869565217394	5.1980124	5.36841	4.570237636566162	TRUE
ENSG00000165868.16	HSPA12A	Productive	-	2	2	0	chr10:116683791-116683962	chr10:116681791-116681877	chr10:116681152-116681256	0.10926573426573429	12.69767441860465	0.5206422018348624	5.20959	5.402770519256592	4.6391687	TRUE
ENSG00000187164.20	SHTN1	Productive	-	0	0	0	chr10:117005022-117005079	chr10:116979256-116979308	chr10:116968652-116968712	0.2279635258358663	1.7407407407407407	3.4	3.6610982	3.0250942707061768	2.2546034	TRUE
ENSG00000151923.18	TIAL1	Unproductive	-	0	0	1	chr10:119577080-119577203	chr10:119576847-119576905	chr10:119576611-119576750	23.863636363636363	5.571428571428571	0.3149171270718232	5.057843	1.4790339469909668	5.44392	TRUE
ENSG00000151923.18	TIAL1	Unproductive	-	1	1	2	chr10:119581922-119582009	chr10:119580471-119580538	chr10:119579935-119580010	0.05154639175257732	1.6785714285714286	0.1479028697571744	6.084039	6.724264144897461	6.1800566	TRUE
ENSG00000066468.24	FGFR2	Productive	-	2	2	0	chr10:121593709-121593817	chr10:121565438-121565704	chr10:121564502-121564579	0.8660377358490566	1.4839572192513368	5.5588235294117645	3.7666674	4.447033405303955	3.2939906120300293	TRUE
ENSG00000107669.19	ATE1	Productive	-	0	0	2	chr10:121902391-121902620	chr10:121899866-121899994	chr10:121870006-121870038	0.168141592920354	3.0543478260869565	8.815181518151816	3.5801816	5.724985122680664	2.6215262413024902	TRUE
ENSG00000107669.19	ATE1	Productive	-	2	2	0	chr10:121924266-121924327	chr10:121922349-121922411	chr10:121913844-121913893	0.2757352941176471	17	0.10601719197707736	3.2329998	3.6459202766418457	3.5405967235565186	FALSE
ENSG00000054116.12	TRAPPC3	Productive	-	0	0	0	chr1:36149337-36149378	chr1:36139720-36140166	chr1:36137796-36137978	0.07297139521307647	1.982089552238806	2.772727272727273	5.807612	2.739006519317627	3.9686665534973145	FALSE
ENSG00000188690.16	UROS	Productive	-	2	2	2	chr10:125807413-125807487	chr10:125798065-125798145	chr10:125796103-125796188	1.5251989389920424	2.587301587301587	0.9753846153846154	1.4914768	1.880160450935364	1.9296932	TRUE
ENSG00000188690.16	UROS	Productive	-	0	0	0	chr10:125816437-125816499	chr10:125816177-125816260	chr10:125815034-125815130	0.8515037593984962	1.888111888111888	0.5334728033472803	2.3272064	2.249345541000366	2.4744444	FALSE
ENSG00000188916.9	INSYN2A	Productive	-	1	1	0	chr10:127175212-127176395	chr10:127153852-127153923	chr10:127137837-127138020	0.604632587859425	0.0158311345646438	3.940340909090909	4.8036246	5.0434441566467285	2.2879283	FALSE
ENSG00000108001.16	EBF3	Productive	-	2	2	2	chr10:129840245-129840334	chr10:129839083-129839195	chr10:129837929-129837960	0.00925925925925925	3.189189189189189	1.1217391304347826	6.6448126	2.1797876358032227	6.541632652282715	FALSE
ENSG00000116885.18	OSCP1	Productive	-	1	1	1	chr1:36422150-36422219	chr1:36420476-36420615	chr1:36418991-36419054	2.3384615384615386	3.3557951482479784	1.409871244635193	3.1557968	4.108071327209473	3.1568286418914795	FALSE
ENSG00000116885.18	OSCP1	Productive	-	2	2	0	chr1:36450258-36450369	chr1:36444004-36444033	chr1:36438756-36438910	0.32765298218435324	4.444444444444445	3.0409356725146197	5.0551095	5.1626667976379395	4.715616703033447	TRUE
ENSG00000151651.16	ADAM8	Productive	-	0	0	0	chr10:133267352-133267417	chr10:133263688-133263765	chr10:133263156-133263233	4.81	8.414634146341463	7.676470588235294	0.112807676	0.132089763879776	-0.29357576	FALSE
ENSG00000130640.15	TUBGCP2	Productive	-	0	0	0	chr10:133283078-133283221	chr10:133282223-133282342	chr10:133281273-133281436	1.1344632768361582	2.957333333333333	0.31756756756756754	3.8037987	1.6649333238601685	5.235111	TRUE
ENSG00000142082.15	SIRT3	Productive	-	0	0	2	chr11:230452-230552	chr11:224078-224239	chr11:218778-219041	5.704365079365079	7.759825327510917	9.729508196721312	2.2678788	3.8238637447357178	3.3833961	TRUE
ENSG00000185187.14	SIGIRR	Productive	-	1	1	0	chr11:409868-409874	chr11:408695-408893	chr11:408073-408206	5.088709677419355	7.316091954022989	2.875	0.77225375	0.3291909694671631	1.4331429	FALSE
ENSG00000177225.17	GATD1	Productive	-	2	2	0	chr11:774008-774026	chr11:773522-773629	chr11:772427-772521	11.291666666666666	1.3241525423728813	0.06358381502890173	3.091758	3.3656022548675537	3.518421	FALSE
ENSG00000177830.18	CHID1	Productive	-	1	1	0	chr11:899340-899401	chr11:893427-893519	chr11:884068-884169	2.6707317073170733	1.026525198938992	10.9	2.4374118	0.9592795372009276	1.103742	TRUE
ENSG00000078902.16	TOLLIP	Productive	-	0	0	0	chr11:1295645-1295731	chr11:1290227-1290409	chr11:1288624-1288776	1.2342215988779803	0.07443820224719101	0.23185185185185184	4.292059	5.3231916	4.196827411651611	TRUE
ENSG00000163875.16	MEAF6	Productive	-	1	1	2	chr1:37501804-37501996	chr1:37496707-37496736	chr1:37495885-37495918	0.1686746987951807	0.5777777777777777	6.0643939393939394	5.1545887	6.683300495147705	5.2443986	TRUE
ENSG00000205531.14	NAP1L4	Productive	-	0	0	0	chr11:2951259-2951315	chr11:2949227-2949264	chr11:2945608-2945646	0.1350210970464135	4.341463414634147	1.034334763948498	4.276436	3.7034213542938232	2.5449302	TRUE
ENSG00000110619.18	CARS1	Productive	-	2	2	0	chr11:3057343-3057367	chr11:3047753-3048001	chr11:3042165-3042256	9.173553719008265	2.297266514806378	1.7878787878787878	3.5423586	2.9361367225646973	0.45931997895240784	TRUE
ENSG00000110713.18	NUP98	Productive	-	0	0	0	chr11:3691347-3691489	chr11:3685973-3686194	chr11:3683272-3683441	1.6528835690968444	7.074433656957929	7.769230769230769	3.5126648	4.1940717697143555	3.393873929977417	FALSE
ENSG00000110713.18	NUP98	Productive	-	2	2	1	chr11:3700610-3700839	chr11:3699082-3699348	chr11:3695449-3695606	0.4520654715510522	8.914473684210526	1.366824644549763	3.900152	3.318303346633911	2.674391269683838	FALSE
ENSG00000110713.18	NUP98	Productive	-	2	2	2	chr11:3753316-3753408	chr11:3744509-3744649	chr11:3735191-3735324	0.1414597441685478	3.2779783393501805	0.7535641547861507	4.9439106	4.032290458679199	3.6499783992767334	TRUE
ENSG00000167333.13	TRIM68	Productive	-	0	0	0	chr11:4605079-4605504	chr11:4603245-4603340	chr11:4602152-4602412	4.941573033707865	2.838951310861423	3.953762466001814	0.4083525	1.1026562452316284	1.2916126000000001	TRUE
ENSG00000166313.20	APBB1	Productive	-	1	1	0	chr11:6402082-6402209	chr11:6401977-6401982	chr11:6401574-6401688	20.65714285714286	Inf	2.5492125984251968	4.444905	2.736499786376953	3.7239845	TRUE
ENSG00000132254.13	ARFIP2	Productive	-	1	1	0	chr11:6478738-6478959	chr11:6478579-6478652	chr11:6478135-6478198	0.04994054696789536	7.794871794871795	2.103954802259887	5.275234	1.5983784198760986	4.930117	TRUE
ENSG00000166340.18	TPP1	Productive	-	2	2	0	chr11:6616661-6616859	chr11:6616315-6616503	chr11:6616005-6616074	1.7625570776255708	1.9924146649810368	1.1552380952380952	3.2848427	4.464249	4.095915	FALSE
ENSG00000166340.18	TPP1	Productive	-	2	2	1	chr11:6618776-6618915	chr11:6617301-6617776	chr11:6616975-6617153	6.493392070484582	2.5898089171974523	2.215434083601286	2.4690728	1.5589033365249634	1.9937641620635984	FALSE
ENSG00000166340.18	TPP1	Productive	-	1	1	1	chr11:6619196-6619267	chr11:6618776-6618915	chr11:6617746-6617776	0.9808917197452228	2.215434083601286	1.211340206185567	2.6803224	1.9937641620635984	1.122611	FALSE
ENSG00000158042.9	MRPL17	Productive	-	0	0	0	chr11:6683123-6683296	chr11:6682747-6682815	chr11:6682149-6682402	2.4703143189755528	12.071428571428571	0.739424703891709	3.0536811	4.7813920974731445	3.523776	FALSE
ENSG00000130413.16	STK33	Productive	-	0	0	2	chr11:8435494-8435579	chr11:8413495-8413692	chr11:8392510-8392710	6.728888888888889	3.581218274111675	0.9130434782608696	0.48381594	0.8246868252754211	2.4460466	FALSE
ENSG00000130413.16	STK33	Productive	-	0	0	0	chr11:8473163-8473276	chr11:8464709-8464822	chr11:8461849-8461909	17.19047619047619	1.106177606177606	4.435714285714286	3.5032134	3.380701780319214	1.5423158	FALSE
ENSG00000175348.11	TMEM9B	Productive	-	1	1	0	chr11:8964209-8964313	chr11:8962092-8962183	chr11:8956190-8956298	0.17158469945355193	8.136	7.225352112676056	5.129247	5.012739658355713	1.3414856	TRUE
ENSG00000175356.14	SCUBE2	Productive	-	2	2	2	chr11:9029884-9030045	chr11:9027364-9027561	chr11:9025702-9025854	0.09754433833560708	0.6368627450980392	0.3149891383055757	5.3458104	5.0951361656188965	5.0538454	FALSE
ENSG00000175356.14	SCUBE2	Productive	-	2	2	2	chr11:9055793-9055909	chr11:9053637-9053759	chr11:9053099-9053215	2.066666666666667	0.6737841043890866	2.6260387811634347	2.9130425	4.100918769836426	4.686069	FALSE
ENSG00000184014.9	DENND5A	Productive	-	0	0	1	chr11:9144097-9144278	chr11:9143403-9143485	chr11:9142722-9142845	0.6013001083423619	0.16790490341753342	1.33048128342246	5.372799	5.389301300048828	5.013461	TRUE
ENSG00000184014.9	DENND5A	Productive	-	2	2	0	chr11:9264961-9265069	chr11:9207561-9207632	chr11:9206673-9206782	0.09152872444011684	1.5595238095238095	0.4044943820224719	6.165147	5.688624858856201	2.8446426	TRUE
ENSG00000166471.11	TMEM41B	Productive	-	2	2	0	chr11:9287702-9287806	chr11:9286455-9286593	chr11:9283424-9283593	1.8944444444444444	8.216666666666667	0.8200692041522492	5.3975	6.079416751861572	5.6128955	TRUE
ENSG00000133812.18	SBF2	Productive	-	2	2	2	chr11:9829356-9829496	chr11:9828126-9828221	chr11:9816840-9817024	9.419354838709678	3.855670103092784	2.310606060606061	4.2323136	4.75446891784668	4.335064	TRUE
ENSG00000133812.18	SBF2	Unproductive	-	2	2	2	chr11:9829356-9829496	chr11:9828596-9828632	chr11:9819229-9819303	3.1699346405228757	5.444444444444445	2.310606060606061	4.5251465	3.1870269775390625	4.335064	TRUE
ENSG00000133812.18	SBF2	Productive	-	0	0	0	chr11:9992990-9993103	chr11:9992415-9992543	chr11:9989493-9989595	13.559322033898304	0.2182296231375986	0.03482587064676617	4.3292327	5.829008102416992	5.8139215	FALSE
ENSG00000133812.18	SBF2	Productive	-	0	0	1	chr11:10000914-10001022	chr11:9998266-9998379	chr11:9993921-9993998	6	0.23101604278074864	0.2782258064516129	2.7927308	5.528648853302002	4.8684945	FALSE
ENSG00000110321.19	EIF4G2	Productive	-	1	1	0	chr11:10807255-10807295	chr11:10806820-10806885	chr11:10805907-10806047	5.677685950413223	0.9568345323741008	4.117647058823529	6.530341	6.957666873931885	7.2828779220581055	FALSE
ENSG00000110321.19	EIF4G2	Productive	-	0	0	2	chr11:10802049-10802209	chr11:10801661-10801774	chr11:10800962-10801087	11.490196078431373	13.38888888888889	10.078947368421051	5.562539	5.291062355041504	4.926217079162598	TRUE
ENSG00000050165.19	DKK3	Productive	-	0	0	0	chr11:12002300-12002437	chr11:11998696-11998779	chr11:11968443-11968487	1.060931899641577	2.6301369863013697	1.50814332247557	3.590067	1.85099995136261	2.168985605239868	TRUE
ENSG00000110693.19	SOX6	Productive	-	0	0	2	chr11:16097609-16097688	chr11:16095996-16096118	chr11:16055752-16055901	0.5413333333333333	2.875	0.05567010309278351	5.67948	3.333040714263916	7.278250217437744	FALSE
ENSG00000166689.18	PLEKHA7	Productive	-	0	0	0	chr11:16813113-16813166	chr11:16807144-16807224	chr11:16803227-16803295	0.7693631669535284	3	0.0896551724137931	3.4725218	4.2386298179626465	5.6162405	FALSE
ENSG00000166689.18	PLEKHA7	Productive	-	0	0	0	chr11:16816178-16816264	chr11:16815175-16815294	chr11:16813113-16813166	0.0896551724137931	2.856697819314642	4.427586206896552	5.6162405	4.320858478546143	4.725161	FALSE
ENSG00000006071.16	ABCC8	Productive	-	0	0	1	chr11:17398339-17398441	chr11:17397684-17397797	chr11:17397193-17397313	0.5199568500539374	0.3280701754385965	0.1849948612538541	4.7272735	4.5822725	5.173641681671143	FALSE
